part,STL file,quantity,X mm,Y mm,Z mm,solid PETG grams,nonmanifold edges,components,print notes
Hinge_clevis_-1_-1,Hinge_clevis_m1_m1.stl,1,48.0,64.0,30.0,63.2,0,1,"M4 bolts to hopper wall; 5 mm stainless pin, washers and split pins. 2 mm axial running clearance per side. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Door_tile_-1_+1,Door_tile_m1_p1.stl,1,176.5,159.3,16.0,156.0,0,1,2.4 mm skin; 9.6 mm ribs; 5.4 mm pin bore. Print flat with ribs upward. M4 splice plates underneath. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Hinge_clevis_-1_+1,Hinge_clevis_m1_p1.stl,1,48.0,64.0,30.0,63.2,0,1,"M4 bolts to hopper wall; 5 mm stainless pin, washers and split pins. 2 mm axial running clearance per side. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Door_splice_-1_35,Door_splice_m1_35.stl,1,20.0,48.0,6.0,7.1,0,1,M4 x 22 through-bolts; underside of tile joint. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Door_splice_-1_125,Door_splice_m1_125.stl,1,20.0,48.0,6.0,7.1,0,1,M4 x 22 through-bolts; underside of tile joint. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Door_tile_+1_-1,Door_tile_p1_m1.stl,1,176.5,159.3,16.0,156.0,0,1,2.4 mm skin; 9.6 mm ribs; 5.4 mm pin bore. Print flat with ribs upward. M4 splice plates underneath. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Hinge_clevis_+1_-1,Hinge_clevis_p1_m1.stl,1,48.0,64.0,30.0,63.2,0,1,"M4 bolts to hopper wall; 5 mm stainless pin, washers and split pins. 2 mm axial running clearance per side. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Door_tile_+1_+1,Door_tile_p1_p1.stl,1,176.5,159.3,16.0,156.0,0,1,2.4 mm skin; 9.6 mm ribs; 5.4 mm pin bore. Print flat with ribs upward. M4 splice plates underneath. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Hinge_clevis_+1_+1,Hinge_clevis_p1_p1.stl,1,48.0,64.0,30.0,63.2,0,1,"M4 bolts to hopper wall; 5 mm stainless pin, washers and split pins. 2 mm axial running clearance per side. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Door_splice_+1_35,Door_splice_p1_35.stl,1,20.0,48.0,6.0,7.1,0,1,M4 x 22 through-bolts; underside of tile joint. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Door_splice_+1_125,Door_splice_p1_125.stl,1,20.0,48.0,6.0,7.1,0,1,M4 x 22 through-bolts; underside of tile joint. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Keeper_dog_-1,Keeper_dog_m1.stl,1,56.0,71.0,25.0,44.3,0,1,Positive overlap under BOTH leaves; 90 degree release. 6 mm spindle; M3 cross-bolt. Removable 3 mm arming pin. Servo must return closed before manual reset. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Servo_keeper_carrier_-1,Servo_keeper_carrier_m1.stl,1,110.2,170.0,65.6,221.2,0,1,"P2 Hitec D954SW: mounting centres 48 x 10 mm, output-axis offsets -34/+14 mm. Ear support Z290.8; fit grommets/spacers to actual horn height. M3 bolts with washers. Shelf carries spindle thrust. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Keeper_dog_+1,Keeper_dog_p1.stl,1,56.0,71.0,25.0,44.3,0,1,Positive overlap under BOTH leaves; 90 degree release. 6 mm spindle; M3 cross-bolt. Removable 3 mm arming pin. Servo must return closed before manual reset. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Servo_keeper_carrier_+1,Servo_keeper_carrier_p1.stl,1,110.2,170.0,65.6,221.2,0,1,"P2 Hitec D954SW: mounting centres 48 x 10 mm, output-axis offsets -34/+14 mm. Ear support Z290.8; fit grommets/spacers to actual horn height. M3 bolts with washers. Shelf carries spindle thrust. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Suspension_bracket_-1_-1,Suspension_bracket_m1_m1.stl,1,56.4,52.0,52.0,56.7,0,1,M6 removable suspension stud; four M4 wall bolts and large washers. Structural capacity untested. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Suspension_bracket_-1_+1,Suspension_bracket_m1_p1.stl,1,56.4,52.0,52.0,56.7,0,1,M6 removable suspension stud; four M4 wall bolts and large washers. Structural capacity untested. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Suspension_bracket_+1_-1,Suspension_bracket_p1_m1.stl,1,56.4,52.0,52.0,56.7,0,1,M6 removable suspension stud; four M4 wall bolts and large washers. Structural capacity untested. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Suspension_bracket_+1_+1,Suspension_bracket_p1_p1.stl,1,56.4,52.0,52.0,56.7,0,1,M6 removable suspension stud; four M4 wall bolts and large washers. Structural capacity untested. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_upper_-1_-1,Rail_clamp_upper_m1_m1.stl,1,50.0,36.0,5.0,11.0,0,1,P2 matching holes in lower frame plate: M4 on 38 x 20 mm centres; clamp top Z715. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_lower_-1_-1,Rail_clamp_lower_m1_m1.stl,1,50.0,36.0,28.0,40.6,0,1,20.8 mm square tube clearance. Use M4 through-bolts; no printed threads. Fit coupon first. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_upper_-1_+1,Rail_clamp_upper_m1_p1.stl,1,50.0,36.0,5.0,11.0,0,1,P2 matching holes in lower frame plate: M4 on 38 x 20 mm centres; clamp top Z715. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_lower_-1_+1,Rail_clamp_lower_m1_p1.stl,1,50.0,36.0,28.0,40.6,0,1,20.8 mm square tube clearance. Use M4 through-bolts; no printed threads. Fit coupon first. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_upper_+1_-1,Rail_clamp_upper_p1_m1.stl,1,50.0,36.0,5.0,11.0,0,1,P2 matching holes in lower frame plate: M4 on 38 x 20 mm centres; clamp top Z715. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_lower_+1_-1,Rail_clamp_lower_p1_m1.stl,1,50.0,36.0,28.0,40.6,0,1,20.8 mm square tube clearance. Use M4 through-bolts; no printed threads. Fit coupon first. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_upper_+1_+1,Rail_clamp_upper_p1_p1.stl,1,50.0,36.0,5.0,11.0,0,1,P2 matching holes in lower frame plate: M4 on 38 x 20 mm centres; clamp top Z715. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_lower_+1_+1,Rail_clamp_lower_p1_p1.stl,1,50.0,36.0,28.0,40.6,0,1,20.8 mm square tube clearance. Use M4 through-bolts; no printed threads. Fit coupon first. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
H25T_slotted_horn_adapter_-1,H25T_slotted_horn_adapter_-1.stl,1,46.0,16.0,12.5,3.8,0,1,P2: purchased Hitec 25T double-arm horn; two opposed 2.8 mm slots spanning radii 8–20 mm. M2.5 through-bolts and washers; check horn hole availability and clearance at bench. No printed servo spline. 6 mm steel spindle/M3 cross-bolt. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
H25T_slotted_horn_adapter_+1,H25T_slotted_horn_adapter_+1.stl,1,46.0,16.0,12.5,3.8,0,1,P2: purchased Hitec 25T double-arm horn; two opposed 2.8 mm slots spanning radii 8–20 mm. M2.5 through-bolts and washers; check horn hole availability and clearance at bench. No printed servo spline. 6 mm steel spindle/M3 cross-bolt. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
