part,STL file,quantity,X mm,Y mm,Z mm,solid PETG grams,nonmanifold edges,components,print notes
Throat_rail_X_+1_-1,Throat_rail_X_p1_m1.stl,1,159.6,24.0,19.4,27.8,0,1,Inward 12 mm support lip; 2 mm vertical clearance over shut doors. M4 attachment. Clear aperture 292 x 292 mm. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Throat_rail_X_+1_+1,Throat_rail_X_p1_p1.stl,1,159.6,24.0,19.4,27.8,0,1,Inward 12 mm support lip; 2 mm vertical clearance over shut doors. M4 attachment. Clear aperture 292 x 292 mm. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Throat_rail_Y_-1_-1,Throat_rail_Y_m1_m1.stl,1,24.0,159.6,19.4,26.6,0,1,Inward 12 mm support lip; 2 mm vertical clearance over shut doors. M4 attachment. Clear aperture 292 x 292 mm. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Throat_rail_Y_-1_+1,Throat_rail_Y_m1_p1.stl,1,24.0,159.6,19.4,26.6,0,1,Inward 12 mm support lip; 2 mm vertical clearance over shut doors. M4 attachment. Clear aperture 292 x 292 mm. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Throat_rail_Y_+1_-1,Throat_rail_Y_p1_m1.stl,1,24.0,159.6,19.4,26.6,0,1,Inward 12 mm support lip; 2 mm vertical clearance over shut doors. M4 attachment. Clear aperture 292 x 292 mm. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Throat_rail_Y_+1_+1,Throat_rail_Y_p1_p1.stl,1,24.0,159.6,19.4,26.6,0,1,Inward 12 mm support lip; 2 mm vertical clearance over shut doors. M4 attachment. Clear aperture 292 x 292 mm. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Door_tile_-1_-1,Door_tile_m1_m1.stl,1,176.5,159.3,16.0,156.0,0,1,2.4 mm skin; 9.6 mm ribs; 5.4 mm pin bore. Print flat with ribs upward. M4 splice plates underneath. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Hinge_clevis_-1_-1,Hinge_clevis_m1_m1.stl,1,48.0,64.0,30.0,63.2,0,1,"M4 bolts to hopper wall; 5 mm stainless pin, washers and split pins. 2 mm axial running clearance per side. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Door_tile_-1_+1,Door_tile_m1_p1.stl,1,176.5,159.3,16.0,156.0,0,1,2.4 mm skin; 9.6 mm ribs; 5.4 mm pin bore. Print flat with ribs upward. M4 splice plates underneath. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Hinge_clevis_-1_+1,Hinge_clevis_m1_p1.stl,1,48.0,64.0,30.0,63.2,0,1,"M4 bolts to hopper wall; 5 mm stainless pin, washers and split pins. 2 mm axial running clearance per side. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Door_splice_-1_35,Door_splice_m1_35.stl,1,20.0,48.0,6.0,7.1,0,1,M4 x 22 through-bolts; underside of tile joint. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Door_splice_-1_125,Door_splice_m1_125.stl,1,20.0,48.0,6.0,7.1,0,1,M4 x 22 through-bolts; underside of tile joint. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Door_tile_+1_-1,Door_tile_p1_m1.stl,1,176.5,159.3,16.0,156.0,0,1,2.4 mm skin; 9.6 mm ribs; 5.4 mm pin bore. Print flat with ribs upward. M4 splice plates underneath. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Hinge_clevis_+1_-1,Hinge_clevis_p1_m1.stl,1,48.0,64.0,30.0,63.2,0,1,"M4 bolts to hopper wall; 5 mm stainless pin, washers and split pins. 2 mm axial running clearance per side. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Door_tile_+1_+1,Door_tile_p1_p1.stl,1,176.5,159.3,16.0,156.0,0,1,2.4 mm skin; 9.6 mm ribs; 5.4 mm pin bore. Print flat with ribs upward. M4 splice plates underneath. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Hinge_clevis_+1_+1,Hinge_clevis_p1_p1.stl,1,48.0,64.0,30.0,63.2,0,1,"M4 bolts to hopper wall; 5 mm stainless pin, washers and split pins. 2 mm axial running clearance per side. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Door_splice_+1_35,Door_splice_p1_35.stl,1,20.0,48.0,6.0,7.1,0,1,M4 x 22 through-bolts; underside of tile joint. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Door_splice_+1_125,Door_splice_p1_125.stl,1,20.0,48.0,6.0,7.1,0,1,M4 x 22 through-bolts; underside of tile joint. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Keeper_dog_-1,Keeper_dog_m1.stl,1,56.0,71.0,25.0,44.3,0,1,Positive overlap under BOTH leaves; 90 degree release. 6 mm spindle; M3 cross-bolt. Removable 3 mm arming pin. Servo must return closed before manual reset. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Servo_keeper_carrier_-1,Servo_keeper_carrier_m1.stl,1,97.0,170.0,65.6,207.0,0,1,"Shelf carries axial petal load via washer, not servo output bearing. Actuator envelope/49.5 x 10 hole pattern provisional; verify against purchased hardware. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Horn_adapter_PROVISIONAL_-1,Horn_adapter_PROVISIONAL_m1.stl,1,28.0,28.0,12.5,5.0,0,1,Not a verified servo spline. Bolts to purchased horn: assumed four M2.5 holes on 17 mm PCD. Rework this adapter after selecting hardware. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Keeper_dog_+1,Keeper_dog_p1.stl,1,56.0,71.0,25.0,44.3,0,1,Positive overlap under BOTH leaves; 90 degree release. 6 mm spindle; M3 cross-bolt. Removable 3 mm arming pin. Servo must return closed before manual reset. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Servo_keeper_carrier_+1,Servo_keeper_carrier_p1.stl,1,97.0,170.0,65.6,207.0,0,1,"Shelf carries axial petal load via washer, not servo output bearing. Actuator envelope/49.5 x 10 hole pattern provisional; verify against purchased hardware. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified."
Horn_adapter_PROVISIONAL_+1,Horn_adapter_PROVISIONAL_p1.stl,1,28.0,28.0,12.5,5.0,0,1,Not a verified servo spline. Bolts to purchased horn: assumed four M2.5 holes on 17 mm PCD. Rework this adapter after selecting hardware. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Suspension_bracket_-1_-1,Suspension_bracket_m1_m1.stl,1,56.4,52.0,52.0,56.7,0,1,M6 removable suspension stud; four M4 wall bolts and large washers. Structural capacity untested. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Suspension_bracket_-1_+1,Suspension_bracket_m1_p1.stl,1,56.4,52.0,52.0,56.7,0,1,M6 removable suspension stud; four M4 wall bolts and large washers. Structural capacity untested. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Suspension_bracket_+1_-1,Suspension_bracket_p1_m1.stl,1,56.4,52.0,52.0,56.7,0,1,M6 removable suspension stud; four M4 wall bolts and large washers. Structural capacity untested. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Suspension_bracket_+1_+1,Suspension_bracket_p1_p1.stl,1,56.4,52.0,52.0,56.7,0,1,M6 removable suspension stud; four M4 wall bolts and large washers. Structural capacity untested. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_upper_-1_-1,Rail_clamp_upper_m1_m1.stl,1,50.0,36.0,5.0,11.0,0,1,Top plane Z715. Four M4 bolts on 38 x 20 mm pattern. Actual drone interface UNVERIFIED. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_lower_-1_-1,Rail_clamp_lower_m1_m1.stl,1,50.0,36.0,28.0,40.6,0,1,20.8 mm square tube clearance. Use M4 through-bolts; no printed threads. Fit coupon first. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_upper_-1_+1,Rail_clamp_upper_m1_p1.stl,1,50.0,36.0,5.0,11.0,0,1,Top plane Z715. Four M4 bolts on 38 x 20 mm pattern. Actual drone interface UNVERIFIED. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_lower_-1_+1,Rail_clamp_lower_m1_p1.stl,1,50.0,36.0,28.0,40.6,0,1,20.8 mm square tube clearance. Use M4 through-bolts; no printed threads. Fit coupon first. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_upper_+1_-1,Rail_clamp_upper_p1_m1.stl,1,50.0,36.0,5.0,11.0,0,1,Top plane Z715. Four M4 bolts on 38 x 20 mm pattern. Actual drone interface UNVERIFIED. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_lower_+1_-1,Rail_clamp_lower_p1_m1.stl,1,50.0,36.0,28.0,40.6,0,1,20.8 mm square tube clearance. Use M4 through-bolts; no printed threads. Fit coupon first. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_upper_+1_+1,Rail_clamp_upper_p1_p1.stl,1,50.0,36.0,5.0,11.0,0,1,Top plane Z715. Four M4 bolts on 38 x 20 mm pattern. Actual drone interface UNVERIFIED. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
Rail_clamp_lower_+1_+1,Rail_clamp_lower_p1_p1.stl,1,50.0,36.0,28.0,40.6,0,1,20.8 mm square tube clearance. Use M4 through-bolts; no printed threads. Fit coupon first. Mesh merged at 0.001 mm tolerance; outward STL normals verified. Mesh merged at 0.001 mm tolerance; outward STL normals verified.
